                   118|Urologic Diseases                                                                                                                                                                                       |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     118|COND        |ULD
                   197|Scleroderma                                                                                                                                                                                             |AHMADMIN                                          |2009-03-23 14:07:09|2020-10-09 17:18:32|ADMSTAGE                                          |                     157|COND        |SLDM
                   200|Ovarian Cancer                                                                                                                                                                                          |AHMADMIN                                          |2009-03-23 14:07:09|2020-10-09 17:18:32|ADMSTAGE                                          |                     145|COND        |OVRNCAN
                   199|Genetic Counseling                                                                                                                                                                                      |AHMADMIN                                          |2009-03-23 14:07:09|2020-10-09 17:18:32|ADMSTAGE                                          |                     158|COND        |GENCOUN
                   201|Cervical Cancer                                                                                                                                                                                         |AHMADMIN                                          |2009-04-16 11:46:49|2020-10-09 17:18:32|ADMSTAGE                                          |                      15|COND        |CERCAN
                   202|Malignant Melanoma                                                                                                                                                                                      |AHMADMIN                                          |2009-04-16 11:46:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     149|COND        |MAME
                   212|Hypogonadism                                                                                                                                                                                            |AHMADMIN                                          |2009-07-14 15:36:57|2020-10-09 17:18:32|ADMSTAGE                                          |                     160|COND        |HYPGDSM
                   221|Autistic Disorder                                                                                                                                                                                       |AHMADMIN                                          |2010-01-08 16:05:15|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |AUTD
                   196|Psoriasis                                                                                                                                                                                               |AHMADMIN                                          |2009-01-28 16:23:47|2020-10-09 17:18:32|ADMSTAGE                                          |                     163|COND        |PSORIA
                   211|Prediabetes                                                                                                                                                                                             |AHMADMIN                                          |2009-07-02 11:20:32|2020-10-09 17:18:32|ADMSTAGE                                          |                      30|COMORBID    |PDIAB
                   215|Fabry Disease                                                                                                                                                                                           |AHMADMIN                                          |2009-08-20 13:39:16|2020-10-09 17:18:32|ADMSTAGE                                          |                     155|COND        |FABR
                   213|Custom Identification                                                                                                                                                                                   |AHMADMIN                                          |2009-08-20 13:39:16|2020-10-09 17:18:32|ADMSTAGE                                          |                     154|COND        |CUSTID
                   214|Bipolar disorder                                                                                                                                                                                        |AHMADMIN                                          |2009-08-20 13:39:16|2020-10-09 17:18:32|ADMSTAGE                                          |                     161|COND        |BIPDIS
                   220|Spina Bifida                                                                                                                                                                                            |AHMADMIN                                          |2010-01-08 16:05:15|2020-10-09 17:18:32|ADMSTAGE                                          |                      84|COND        |SBIF
                   218|Cerebral Palsy                                                                                                                                                                                          |AHMADMIN                                          |2010-01-08 16:05:15|2020-10-09 17:18:32|ADMSTAGE                                          |                      84|COND        |CPAL
                   219|Mental Deficiency                                                                                                                                                                                       |AHMADMIN                                          |2010-01-08 16:05:15|2020-10-09 17:18:32|ADMSTAGE                                          |                      84|COND        |MDEF
                   231|Diabetes Medication Nonadherence                                                                                                                                                                        |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |DIANA
                   228|ACEI or ARB Nonadherence                                                                                                                                                                                |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |ACENA
                   222|CAD Risk Factor (0-1)                                                                                                                                                                                   |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                      24|COMORBID    |CADRF
                   224|Statin Nonadherence                                                                                                                                                                                     |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |STANA
                   230|HTN Medication Nonadherence                                                                                                                                                                             |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |HTNNA
                   226|Seizure Medication Nonadherence                                                                                                                                                                         |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |SEINA
                   229|Oral Cancer Medication Nonadherence                                                                                                                                                                     |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |OCNA
                   223|CAD Risk Factors (2)                                                                                                                                                                                    |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                      24|COMORBID    |CADRFT
                   232|Antidepressant Medication Nonadherence                                                                                                                                                                  |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |ANDNA
                   227|Metformin Nonadherence                                                                                                                                                                                  |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |METNA
                   225|Beta Blocker Nonadherence                                                                                                                                                                               |AHMADMIN                                          |2010-01-25 16:31:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |BBNA
                   251|Lifestyle Issues                                                                                                                                                                                        |AHMADMIN                                          |2011-06-02 23:29:16|2020-10-09 17:18:32|ADMSTAGE                                          |                     167|COMORBID    |LSI
                   233|Cryopyrin-Associated Periodic Syndrome                                                                                                                                                                  |AHMADMIN                                          |2010-03-24 16:39:23|2020-10-09 17:18:32|ADMSTAGE                                          |                        |COND        |CAPS
                   235|HRA Completion                                                                                                                                                                                          |AHMADMIN                                          |2010-05-18 15:56:52|2020-10-09 17:18:32|ADMSTAGE                                          |                     125|COMORBID    |HRA
                   237|Medication Management                                                                                                                                                                                   |AHMADMIN                                          |2010-07-26 15:48:23|2020-10-09 17:18:32|ADMSTAGE                                          |                     168|COND        |RXMGMT
                   239|Ear, Nose and Throat                                                                                                                                                                                    |AHMADMIN                                          |2010-08-09 17:44:32|2020-10-09 17:18:32|ADMSTAGE                                          |                     169|COMORBID    |ENT
                   238|Primary Immunodeficiency                                                                                                                                                                                |AHMADMIN                                          |2010-08-09 17:44:32|2020-10-09 17:18:32|ADMSTAGE                                          |                     166|COMORBID    |PI
                   252|At Risk of Knee Replacement Surgery                                                                                                                                                                     |AHMADMIN                                          |2011-06-02 23:29:16|2020-10-09 17:18:32|ADMSTAGE                                          |                       9|COMORBID    |ATRISKKRS
                   261|At Risk of Hip Replacement Surgery                                                                                                                                                                      |AHMADMIN                                          |2011-09-10 09:52:25|2020-10-09 17:18:32|ADMSTAGE                                          |                       9|COMORBID    |ATRISKHRS
                   263|Spinal Injury                                                                                                                                                                                           |AHMADMIN                                          |2011-10-24 21:02:35|2020-10-09 17:18:32|ADMSTAGE                                          |                     175|COND        |SPINALINJ
                   264|Spinal Stenosis                                                                                                                                                                                         |AHMADMIN                                          |2011-10-24 21:02:35|2020-10-09 17:18:32|ADMSTAGE                                          |                     176|COND        |SPINALSTEN
                   265|Varicose Veins                                                                                                                                                                                          |AHMADMIN                                          |2011-10-24 21:02:35|2020-10-09 17:18:32|ADMSTAGE                                          |                     177|COND        |VARICVEIN
                   262|Dermatologic Diseases                                                                                                                                                                                   |AHMADMIN                                          |2011-10-24 21:02:35|2020-10-09 17:18:32|ADMSTAGE                                          |                     174|COND        |DERM
                   267|Muscle weakness                                                                                                                                                                                         |AHMADMIN                                          |2011-12-28 23:07:18|2020-10-09 17:18:32|ADMSTAGE                                          |                      83|COND        |MUSCLE
                   268|Hereditary Hemorrhagic Telangiectasia                                                                                                                                                                   |AHMADMIN                                          |2012-01-07 01:53:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     179|COND        |HHT
                   269|Care Management                                                                                                                                                                                         |AHMADMIN                                          |2012-01-07 01:53:58|2020-10-09 17:18:32|ADMSTAGE                                          |                     125|COMORBID    |CAREMGMT
                   271|Care Post-Transplant                                                                                                                                                                                    |AHMADMIN                                          |2012-04-21 20:05:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     183|COND        |CPT
                   273|Pediatric Care                                                                                                                                                                                          |AHMADMIN                                          |2012-04-21 20:05:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     180|COND        |PEDC
                   270|End of Life                                                                                                                                                                                             |AHMADMIN                                          |2012-04-21 20:05:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     184|COND        |EOL
                   272|Care of Pre-Transplant                                                                                                                                                                                  |AHMADMIN                                          |2012-04-21 20:05:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     182|COND        |COPT
                   274|Care of Oncology                                                                                                                                                                                        |AHMADMIN                                          |2012-04-21 20:05:49|2020-10-09 17:18:32|ADMSTAGE                                          |                     181|COND        |COO
                   278|Frequent Hospitalizations                                                                                                                                                                               |AHMADMIN                                          |2013-04-26 23:16:48|2020-10-09 17:18:32|ADMSTAGE                                          |                     188|COMORBID    |FREHOS
                   277|Frequent ER Visits                                                                                                                                                                                      |AHMADMIN                                          |2013-04-26 23:16:48|2020-10-09 17:18:32|ADMSTAGE                                          |                     187|COMORBID    |FREER
                   284|COVA Hypertension Medication Compliance                                                                                                                                                                 |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |COVAHTN
                   288|Low HDL Cholesterol                                                                                                                                                                                     |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOHDL
                   280|COVA Asthma Medication Compliance                                                                                                                                                                       |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |COVAASTH
                   292|Elevated Blood Pressure                                                                                                                                                                                 |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOBP
                   283|COVA Annual Wellness Exam                                                                                                                                                                               |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     125|COMORBID    |COVAWELL
                   286|COVA Diabetes Medication Compliance                                                                                                                                                                     |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |COVADM
                   281|High Risk Medication                                                                                                                                                                                    |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     191|COND        |HRM
                   287|COVA HbA1c Monitoring Compliance                                                                                                                                                                        |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                      30|COMORBID    |COVAHBAC
                   291|Elevated Waist Circumference                                                                                                                                                                            |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOWST
                   290|Elevated Glucose                                                                                                                                                                                        |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOGLU
                   285|COVA COPD Medication Compliance                                                                                                                                                                         |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |COVACOPD
                   282|Attention Deficit Hyperactivity Disorder                                                                                                                                                                |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |ADHD
                   289|Elevated BMI                                                                                                                                                                                            |AHMADMIN                                          |2014-09-13 17:03:38|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOBMI
                   293|Mood Disorder                                                                                                                                                                                           |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |MOODDO
                   294|High Cost Claimant                                                                                                                                                                                      |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC
                   295|Attention Deficit Hyperactivity Disorder Peds                                                                                                                                                           |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |ADHDPED
                   296|Anxiety Disorders                                                                                                                                                                                       |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |ANXTY
                   297|Chronic Kidney Disease NOS                                                                                                                                                                              |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      20|COND        |CKD_NOS
                   298|Chronic Kidney Disease Stage 1                                                                                                                                                                          |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      20|COND        |CKD1
                   299|Exercise Induced Bronchoconstriction                                                                                                                                                                    |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      10|COND        |EIB
                   300|Westinghouse Biometric Failure                                                                                                                                                                          |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |WSTSCRFAIL
                   301|Polycystic Ovary Syndrome                                                                                                                                                                               |ADMSTAGE                                          |2014-12-06 17:07:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      99|COND        |PCOS
                   307|Idiopathic Pulmonary Fibrosis                                                                                                                                                                           |ADMSTAGE                                          |2015-09-19 16:53:19|2020-10-09 17:18:32|ADMSTAGE                                          |                      76|COND        |IDPULFIBRO
                   327|Diabetes Gestational                                                                                                                                                                                    |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      30|COND        |DIABGEST
                   328|Pancreatic Cancer                                                                                                                                                                                       |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      15|COND        |CANPANCR
                   329|Head and Neck Cancer                                                                                                                                                                                    |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      15|COND        |HNCANC
                   330|Macular Degeneration                                                                                                                                                                                    |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      39|COND        |MACDEG
                   331|Tuberculosis                                                                                                                                                                                            |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      64|COND        |TUBERCUL
                   332|Chronic Fatigue Syndrome                                                                                                                                                                                |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      63|COND        |CHRFASYN
                   333|Thromboembolism                                                                                                                                                                                         |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      56|COND        |THROMBO
                   334|Hypercoagulable                                                                                                                                                                                         |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      56|COND        |HYPERCOAG
                   335|Leukemia                                                                                                                                                                                                |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      71|COND        |LEUKEM
                   336|Lymphoma (Non Hodgkins)                                                                                                                                                                                 |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      71|COND        |LYMPHOMNH
                   337|Hypothyroidism                                                                                                                                                                                          |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                     112|COND        |HYPOTHYD
                   338|Lymphoma (Hodgkins)                                                                                                                                                                                     |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      71|COND        |LYMPHOMH
                   339|History of Myocardial Infarction                                                                                                                                                                        |ADMSTAGE                                          |2016-03-12 12:07:45|2020-10-09 17:18:32|ADMSTAGE                                          |                      24|COND        |HXMI
                   342|Elevated HbA1c                                                                                                                                                                                          |ADMSTAGE                                          |2016-09-17 12:27:28|2020-10-09 17:18:32|ADMSTAGE                                          |                      30|COND        |ELVHBAC
                   343|Therapeutic Duplication                                                                                                                                                                                 |ADMSTAGE                                          |2016-09-17 12:27:28|2020-10-09 17:18:32|ADMSTAGE                                          |                     199|COMORBID    |THERAPDUP
                   348|LDL Greater Than or Equal to 190                                                                                                                                                                        |ADMSTAGE                                          |2016-11-06 06:23:28|2020-10-09 17:18:32|ADMSTAGE                                          |                      58|COMORBID    |LDLGT190
                   240|Mood Stabilizer Nonadherence                                                                                                                                                                            |AHMADMIN                                          |2010-09-28 15:42:26|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |MOODNH
                   243|Schizophrenia                                                                                                                                                                                           |AHMADMIN                                          |2010-12-13 16:14:23|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COND        |SCHIZO
                   246|Overweight Pediatric                                                                                                                                                                                    |AHMADMIN                                          |2011-04-09 09:24:06|2020-10-09 17:18:32|ADMSTAGE                                          |                     167|COND        |OVERPED
                   253|Value Based Insurance Design                                                                                                                                                                            |AHMADMIN                                          |2011-07-26 17:37:48|2020-10-09 17:18:32|ADMSTAGE                                          |                     173|COMORBID    |VBID
                   256|At Risk of Cardiac Surgery                                                                                                                                                                              |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      17|COMORBID    |ATRISKCRS
                   260|Serotonin Syndrome                                                                                                                                                                                      |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      84|COND        |SERSYN
                   258|At Risk of Prostatectomy                                                                                                                                                                                |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      97|COMORBID    |ATRISKPRO
                   257|At Risk of Hysterectomy                                                                                                                                                                                 |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      99|COMORBID    |ATRISKHYS
                   255|At Risk of Bariatric Surgery                                                                                                                                                                            |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      85|COMORBID    |ATRISKBAR
                   259|At Risk of Back Surgery                                                                                                                                                                                 |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                      74|COMORBID    |ATRISKBS
                   254|Osteoporosis Medication Nonadherence                                                                                                                                                                    |AHMADMIN                                          |2011-08-09 17:16:00|2020-10-09 17:18:32|ADMSTAGE                                          |                     164|COMORBID    |OSTNA
                   275|Compassionate Care Program                                                                                                                                                                              |AHMADMIN                                          |2012-10-26 23:16:18|2020-10-09 17:18:32|ADMSTAGE                                          |                     185|COND        |CCP_UGH
                   276|Biometric Screening Failure                                                                                                                                                                             |AHMADMIN                                          |2012-11-18 00:05:13|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOSCRFAIL
                   302|Gulfstream - Moderate Risk Provant AHLC                                                                                                                                                                 |ADMSTAGE                                          |2015-07-10 21:18:04|2020-10-09 17:18:32|ADMSTAGE                                          |                     194|COMORBID    |GULMODRISK
                   303|Gulfstream - High Risk Provant AHLC                                                                                                                                                                     |ADMSTAGE                                          |2015-07-10 21:18:04|2020-10-09 17:18:32|ADMSTAGE                                          |                     194|COMORBID    |GULHIRISK
                   312|Behavioral Health Condition with Multiple Co-Morbidities                                                                                                                                                |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COMORBID    |BH>=3COMO
                   313|Active Cancer                                                                                                                                                                                           |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                      15|COND        |ACTIVECANC
                   314|Behavioral Health High Cost Claimants                                                                                                                                                                   |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                      79|COMORBID    |BHHCC
                   315|High Cost Claimant 45,000 - 50,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC45K-50K
                   316|High Cost Claimant 50,000 - 75,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC50K-75K
                   317|High Cost Claimant Greater Than 250,000                                                                                                                                                                 |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC>=250K
                   318|High Cost Claimant 75,000 - 250,000                                                                                                                                                                     |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC75-250K
                   319|Behavioral Health Readmission                                                                                                                                                                           |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     197|COMORBID    |BHREADMIT
                   320|High Cost Claimant 20,000 - 25,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC20K-25K
                   321|High Cost Claimant 25,000 - 30,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC25K-30K
                   322|High Cost Claimant 40,000 - 45,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC40K-45K
                   323|High Cost Claimant 35,000 - 40,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC35K-40K
                   324|High Cost Claimant 30,000 - 35,000                                                                                                                                                                      |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     193|COMORBID    |HCC30K-35K
                   325|Frequent Hospitalization - Any Condition                                                                                                                                                                |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     188|COMORBID    |FREQHOSANY
                   326|High Overall Clinical Risk                                                                                                                                                                              |ADMSTAGE                                          |2015-11-21 16:45:36|2020-10-09 17:18:32|ADMSTAGE                                          |                     198|COMORBID    |HOCR
                   340|Biometric Screening Completed                                                                                                                                                                           |ADMSTAGE                                          |2016-04-15 21:15:50|2020-10-09 17:18:32|ADMSTAGE                                          |                     186|COMORBID    |BIOMETRCOM
                   341|High Risk Prediabetes                                                                                                                                                                                   |ADMSTAGE                                          |2016-05-13 21:12:49|2020-10-09 17:18:32|ADMSTAGE                                          |                      30|COMORBID    |HRPDIAB
                   349|Transitions of Care CCM ACB                                                                                                                                                                             |ADMSTAGE                                          |2016-12-09 20:10:25|2020-10-09 17:18:32|ADMSTAGE                                          |                     189|COND        |TOCCCMACB
