                   117686|        12423|DM                                                |ADMSTAGE                      |2020-06-02 18:21:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14487|         5695|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14485|         5693|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4219|            9|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4222|           13|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4223|           14|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4224|           15|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4225|           16|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4226|           17|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85817|          926|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4231|           29|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4232|           30|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4233|           31|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4234|           32|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4235|           34|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4236|           35|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4237|           40|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4238|           41|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4239|           42|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4241|           45|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4242|           46|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4243|           47|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4244|           63|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4246|           65|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4247|           66|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4248|           68|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4249|           71|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4250|           72|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4251|           73|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4253|           75|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4254|           76|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4256|           78|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4257|           79|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4258|           80|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4259|           81|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4261|           83|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4262|           87|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4264|           89|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4265|           90|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4266|           91|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4267|           92|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4268|           93|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4269|         1305|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4270|         1316|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4272|         1318|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4273|         1319|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4275|         1321|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4276|         1322|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4277|         1323|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4278|         1324|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4279|         1325|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4280|         1326|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4281|         1327|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4282|         1328|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4283|         1329|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4284|         1330|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4285|         1331|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     4286|         1332|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85224|          651|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85163|         1131|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82947|         8157|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20252|         1278|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85688|         9991|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20237|         1277|CPR                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14493|         5706|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20279|         1276|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     5907|          852|CCM                                               |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82957|         8158|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85160|          629|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14545|         5985|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14484|         5692|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85382|         1140|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14496|         5709|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14506|         5720|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14483|         5691|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14489|         5697|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    81584|          405|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14502|         5715|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14521|         5783|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14465|         5673|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116082|        12090|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82938|         8124|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20226|           67|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116087|         9451|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    84234|         1119|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116041|          463|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    81550|          398|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    81475|          361|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82831|         8152|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    84787|         5822|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116098|        12120|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116074|         5671|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116094|         9465|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14523|         5785|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116085|         9446|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20243|         1280|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     5980|          889|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     5981|          889|CCM                                               |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85045|          615|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14481|         5689|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116100|        12121|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116063|          923|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116073|         5671|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82407|         8114|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20256|         1279|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20232|         1275|DMRE                                              |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116088|         9451|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116078|         5690|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82832|         8152|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6014|          906|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6015|          906|CCM                                               |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82961|         8135|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116086|         9446|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14501|         5714|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116102|        12121|WELL                                              |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116101|        12121|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20079|         7326|CE                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14477|         5685|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20230|         1275|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    81408|          349|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116081|        12090|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116052|          543|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20255|         1278|CPR                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116042|          463|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20251|         1281|CPR                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116051|          543|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    84235|         1119|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116097|        12120|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20257|         1279|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20239|           70|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116092|         9461|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20280|         1276|DMRE                                              |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    85604|         1145|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    84724|         1382|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116040|          463|WELL                                              |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116093|         9465|DM                                                |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116099|        12120|WELL                                              |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   116091|         9461|CCM                                               |ADMSTAGE                      |2019-12-13 17:47:47.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6080|          939|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6081|          939|CCM                                               |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    84634|         1238|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6098|          953|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6099|          953|CCM                                               |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20234|         1277|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
